"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Acta2",0,5.04217145696988,1,0.426,0,"SMC_1","Acta2"
"Tagln",0,4.67085250692011,1,0.274,0,"SMC_1","Tagln"
"Myh11",0,4.32015637365267,0.998,0.095,0,"SMC_1","Myh11"
"Tpm2",0,3.9157273770613,0.998,0.312,0,"SMC_1","Tpm2"
"Myl9",0,3.74366190396903,0.998,0.272,0,"SMC_1","Myl9"
"Itga8",0,3.59545225350595,0.994,0.176,0,"SMC_1","Itga8"
"Cnn1",0,3.58401572676433,0.988,0.05,0,"SMC_1","Cnn1"
"Ccn3",0,3.29749211401374,0.95,0.136,0,"SMC_1","Ccn3"
"Npnt",0,3.18613086831517,0.971,0.077,0,"SMC_1","Npnt"
"Flna",0,3.11473038042605,0.998,0.658,0,"SMC_1","Flna"
"Mylk",0,3.10997168469999,0.989,0.138,0,"SMC_1","Mylk"
"Lmod1",0,2.96603159018489,0.989,0.195,0,"SMC_1","Lmod1"
"Sost",0,2.9427115796087,0.9,0.056,0,"SMC_1","Sost"
"Dstn",0,2.93527007461264,0.999,0.877,0,"SMC_1","Dstn"
"Tpm1",0,2.90348186497511,0.998,0.608,0,"SMC_1","Tpm1"
"Ppp1r14a",0,2.78514574354541,0.966,0.175,0,"SMC_1","Ppp1r14a"
"Cald1",0,2.76162140425339,0.999,0.696,0,"SMC_1","Cald1"
"Actn1",0,2.7082673328103,0.988,0.36,0,"SMC_1","Actn1"
"Synpo2",0,2.67499470348412,0.967,0.206,0,"SMC_1","Synpo2"
"Csrp2",0,2.67100604476106,0.998,0.729,0,"SMC_1","Csrp2"
"Pcdh7",0,2.59860528863058,0.977,0.292,0,"SMC_1","Pcdh7"
"Mylk4",0,2.5616910546211,0.805,0.014,0,"SMC_1","Mylk4"
"Lpp",0,2.55729156008898,0.992,0.622,0,"SMC_1","Lpp"
"Myl6",0,2.50747085030496,1,0.978,0,"SMC_1","Myl6"
"Fblim1",0,2.47845840021568,0.986,0.351,0,"SMC_1","Fblim1"
"Col18a1",0,2.44880434767988,0.934,0.166,0,"SMC_1","Col18a1"
"Cpe",0,2.3996771947964,0.997,0.569,0,"SMC_1","Cpe"
"Myom1",0,2.37554294080963,0.903,0.05,0,"SMC_1","Myom1"
"Csrp1",0,2.33244622858216,0.973,0.364,0,"SMC_1","Csrp1"
"Map1b",0,2.28151800230716,0.987,0.503,0,"SMC_1","Map1b"
"Filip1l",0,2.27926036680779,0.958,0.46,0,"SMC_1","Filip1l"
"Sh3bgr",0,2.23333839639015,0.919,0.077,0,"SMC_1","Sh3bgr"
"Slmap",0,2.20428836769607,0.955,0.336,0,"SMC_1","Slmap"
"Smtn",0,2.17204132012477,0.953,0.263,0,"SMC_1","Smtn"
"Tns1",0,2.14643397451965,0.99,0.678,0,"SMC_1","Tns1"
"Rbpms",0,2.14040890607826,0.98,0.499,0,"SMC_1","Rbpms"
"Ppp1r12a",0,2.12260615721865,0.966,0.503,0,"SMC_1","Ppp1r12a"
"Nexn",0,2.10347592913487,0.922,0.222,0,"SMC_1","Nexn"
"Pls3",0,2.07700246093466,0.987,0.621,0,"SMC_1","Pls3"
"Ramp1",0,2.07269733619278,0.901,0.079,0,"SMC_1","Ramp1"
"Fbxl22",0,2.06168782622158,0.785,0.037,0,"SMC_1","Fbxl22"
"Ncam1",0,2.05737639433032,0.92,0.189,0,"SMC_1","Ncam1"
"Dmd",0,2.05640787182233,0.926,0.319,0,"SMC_1","Dmd"
"Adcy5",0,2.05170708556772,0.913,0.115,0,"SMC_1","Adcy5"
"Enah",0,2.04887381185087,0.912,0.29,0,"SMC_1","Enah"
"Rock1",0,2.04286514124749,0.973,0.671,0,"SMC_1","Rock1"
"Rcan2",0,2.00325329472615,0.884,0.093,0,"SMC_1","Rcan2"
"Mcam",0,1.9744615241315,0.846,0.052,0,"SMC_1","Mcam"
"Pbxip1",0,1.91642130130145,0.934,0.382,0,"SMC_1","Pbxip1"
"Serpine2",0,1.88670608962926,0.946,0.31,0,"SMC_1","Serpine2"
"Actg2",0,1.80536992820445,0.565,0.02,0,"SMC_1","Actg2"
"Npy1r",0,1.79261302125666,0.776,0.046,0,"SMC_1","Npy1r"
"Gucy1a1",0,1.78345866915647,0.9,0.183,0,"SMC_1","Gucy1a1"
"Susd5",0,1.773534941277,0.799,0.029,0,"SMC_1","Susd5"
"Plcb4",0,1.75758297141092,0.903,0.35,0,"SMC_1","Plcb4"
"Cped1",0,1.74781689941761,0.991,0.691,0,"SMC_1","Cped1"
"Itih4",0,1.73361128922198,0.643,0.031,0,"SMC_1","Itih4"
"Ptprz1",0,1.72469782784188,0.617,0.02,0,"SMC_1","Ptprz1"
"Lrrfip1",0,1.70210801947963,0.903,0.331,0,"SMC_1","Lrrfip1"
"Hspb1",0,1.66776528545283,0.978,0.581,0,"SMC_1","Hspb1"
"Mustn1",0,1.6520084786228,0.762,0.165,0,"SMC_1","Mustn1"
"Dmpk",0,1.63145587791657,0.863,0.201,0,"SMC_1","Dmpk"
"Hspb7",0,1.62910166439641,0.815,0.096,0,"SMC_1","Hspb7"
"Gucy1b1",0,1.62467970949902,0.856,0.153,0,"SMC_1","Gucy1b1"
"Kcnmb1",0,1.6109057112953,0.784,0.019,0,"SMC_1","Kcnmb1"
"Tcap",0,1.59793688839017,0.573,0.034,0,"SMC_1","Tcap"
"Ppp1r12b",0,1.57108588165252,0.889,0.31,0,"SMC_1","Ppp1r12b"
"Vcl",0,1.56403204541443,0.924,0.418,0,"SMC_1","Vcl"
"Msrb3",0,1.56229700244498,0.908,0.34,0,"SMC_1","Msrb3"
"E030013I19Rik",0,1.56004723451796,0.677,0.019,0,"SMC_1","E030013I19Rik"
"Limch1",0,1.55904394710966,0.864,0.26,0,"SMC_1","Limch1"
"Pde3a",0,1.55516759185953,0.912,0.351,0,"SMC_1","Pde3a"
"Irag1",0,1.55476005052303,0.812,0.073,0,"SMC_1","Irag1"
"Lmcd1",0,1.54448919604134,0.76,0.158,0,"SMC_1","Lmcd1"
"Bcam",0,1.528496107748,0.832,0.107,0,"SMC_1","Bcam"
"Hspb6",0,1.51571122860713,0.756,0.054,0,"SMC_1","Hspb6"
"Msrb1",0,1.51120088401681,0.861,0.279,0,"SMC_1","Msrb1"
"Cspg4",0,1.50843894640221,0.781,0.097,0,"SMC_1","Cspg4"
"Mtus2",0,1.50036024426176,0.746,0.07,0,"SMC_1","Mtus2"
"Thsd4",0,1.49386788420647,0.737,0.033,0,"SMC_1","Thsd4"
"Itga9",0,1.48622736184756,0.863,0.296,0,"SMC_1","Itga9"
"Sh3bgrl",0,1.47582433705078,0.986,0.796,0,"SMC_1","Sh3bgrl"
"Samd4",0,1.47536421524344,0.874,0.319,0,"SMC_1","Samd4"
"Pkp4",0,1.46030709740131,0.85,0.211,0,"SMC_1","Pkp4"
"Myocd",0,1.45465381156874,0.74,0.028,0,"SMC_1","Myocd"
"Sgcg",0,1.44705863119336,0.729,0.025,0,"SMC_1","Sgcg"
"Map3k20",0,1.41297459606802,0.883,0.363,0,"SMC_1","Map3k20"
"Fhl1",0,1.41011860886347,0.968,0.638,0,"SMC_1","Fhl1"
"Itgb1",0,1.40470202584515,0.994,0.879,0,"SMC_1","Itgb1"
"Cdh13",0,1.40254258020195,0.827,0.162,0,"SMC_1","Cdh13"
"1190005I06Rik",0,1.38994357869197,0.702,0.023,0,"SMC_1","1190005I06Rik"
"Postn",0,1.3833357098054,0.941,0.258,0,"SMC_1","Postn"
"Ptgis",0,1.37725308749896,0.974,0.608,0,"SMC_1","Ptgis"
"Denn2b",0,1.37664622452137,0.823,0.218,0,"SMC_1","Denn2b"
"Nox4",0,1.36176540722266,0.869,0.306,0,"SMC_1","Nox4"
"Kank1",0,1.35839665964503,0.839,0.244,0,"SMC_1","Kank1"
"Actn4",0,1.35532722694428,0.926,0.584,0,"SMC_1","Actn4"
"Aoc3",0,1.35188165073535,0.766,0.106,0,"SMC_1","Aoc3"
"Scube3",0,1.34058779789393,0.654,0.016,0,"SMC_1","Scube3"
"Dst",0,1.33899604377572,0.978,0.714,0,"SMC_1","Dst"
"Wwp2",0,1.33409787594124,0.795,0.207,0,"SMC_1","Wwp2"
"Mfge8",0,1.32915517507231,0.945,0.56,0,"SMC_1","Mfge8"
"Slc22a1",0,1.32550293058192,0.463,0.008,0,"SMC_1","Slc22a1"
"Kcnab1",0,1.3179181983957,0.687,0.046,0,"SMC_1","Kcnab1"
"Dsp",0,1.30376167490549,0.667,0.107,0,"SMC_1","Dsp"
"Rassf3",0,1.29841180107585,0.812,0.215,0,"SMC_1","Rassf3"
"Ppp1cb",0,1.29825407674409,0.952,0.596,0,"SMC_1","Ppp1cb"
"Htr1b",0,1.29298076475629,0.64,0.017,0,"SMC_1","Htr1b"
"Zyx",0,1.28866863265943,0.954,0.598,0,"SMC_1","Zyx"
"Tmsb4x",0,1.28133130156801,1,0.993,0,"SMC_1","Tmsb4x"
"Myh10",0,1.26689438623655,0.909,0.545,0,"SMC_1","Myh10"
"Pdlim7",0,1.26299136524525,0.863,0.362,0,"SMC_1","Pdlim7"
"Nudt4",0,1.2594216476841,0.949,0.542,0,"SMC_1","Nudt4"
"Tes",0,1.25329532697465,0.597,0.051,0,"SMC_1","Tes"
"Tspan2",0,1.24913062023224,0.749,0.114,0,"SMC_1","Tspan2"
"Oxct1",0,1.24169128827254,0.919,0.527,0,"SMC_1","Oxct1"
"Pdlim1",0,1.2324351485934,0.821,0.281,0,"SMC_1","Pdlim1"
"Niban1",0,1.23116122274195,0.897,0.52,0,"SMC_1","Niban1"
"Lgr6",0,1.22807589485897,0.675,0.039,0,"SMC_1","Lgr6"
"Ttc28",0,1.2235677220017,0.901,0.5,0,"SMC_1","Ttc28"
"Net1",0,1.2213159041455,0.656,0.109,0,"SMC_1","Net1"
"Pgm5",0,1.21152856780285,0.672,0.035,0,"SMC_1","Pgm5"
"Dtna",0,1.19793060620067,0.655,0.059,0,"SMC_1","Dtna"
"Plin4",0,1.19706911231881,0.729,0.118,0,"SMC_1","Plin4"
"2310022B05Rik",0,1.19351516849964,0.779,0.25,0,"SMC_1","2310022B05Rik"
"Clic4",0,1.17602213370858,0.97,0.722,0,"SMC_1","Clic4"
"Filip1",0,1.17560155464365,0.741,0.184,0,"SMC_1","Filip1"
"Hcfc1r1",0,1.16538949561301,0.938,0.593,0,"SMC_1","Hcfc1r1"
"Xpr1",0,1.16470625358386,0.772,0.269,0,"SMC_1","Xpr1"
"Ldb3",0,1.16224284638293,0.63,0.024,0,"SMC_1","Ldb3"
"Cav1",0,1.16080256141537,0.932,0.357,0,"SMC_1","Cav1"
"Tm4sf1",0,1.15583125932474,0.989,0.682,0,"SMC_1","Tm4sf1"
"Jph2",0,1.15560656895029,0.665,0.059,0,"SMC_1","Jph2"
"Dnajb4",0,1.15418354517506,0.85,0.551,0,"SMC_1","Dnajb4"
"Cyb5r3",0,1.14920566226073,0.898,0.545,0,"SMC_1","Cyb5r3"
"Fmo2",0,1.13942580212652,0.974,0.587,0,"SMC_1","Fmo2"
"Tmem47",0,1.13760443871463,0.821,0.309,0,"SMC_1","Tmem47"
"Fbxo32",0,1.13749715620703,0.686,0.155,0,"SMC_1","Fbxo32"
"Hacd1",0,1.13264654440899,0.709,0.126,0,"SMC_1","Hacd1"
"Fermt2",0,1.12871418857479,0.953,0.633,0,"SMC_1","Fermt2"
"Ltbp1",0,1.1198989836707,0.936,0.529,0,"SMC_1","Ltbp1"
"Sncg",0,1.11405059243325,0.393,0.054,0,"SMC_1","Sncg"
"Pdlim3",0,1.11173942739614,0.855,0.29,0,"SMC_1","Pdlim3"
"Rasl12",0,1.10346689139634,0.639,0.05,0,"SMC_1","Rasl12"
"Cfl2",0,1.0903528393142,0.868,0.463,0,"SMC_1","Cfl2"
"Cd200",0,1.08525474542019,0.927,0.498,0,"SMC_1","Cd200"
"Entpd1",0,1.08102882393995,0.748,0.152,0,"SMC_1","Entpd1"
"Atp2a2",0,1.07545545976947,0.958,0.705,0,"SMC_1","Atp2a2"
"Cbr2",0,1.07519282712662,0.805,0.087,0,"SMC_1","Cbr2"
"Vldlr",0,1.0744085619194,0.76,0.271,0,"SMC_1","Vldlr"
"Map1a",0,1.07277241331037,0.714,0.258,0,"SMC_1","Map1a"
"Optc",0,1.07191387817445,0.554,0.012,0,"SMC_1","Optc"
"Cdh6",0,1.07050814117556,0.527,0.014,0,"SMC_1","Cdh6"
"Gm13889",0,1.05506344089664,0.568,0.055,0,"SMC_1","Gm13889"
"Syne1",0,1.05374959929949,0.801,0.373,0,"SMC_1","Syne1"
"Snhg18",0,1.05285113527936,0.932,0.586,0,"SMC_1","Snhg18"
"Ccn2",0,1.03848913946819,0.948,0.569,0,"SMC_1","Ccn2"
"Tnnt2",0,1.03841968405423,0.221,0.048,0,"SMC_1","Tnnt2"
"Efhd1",0,1.0368630319883,0.72,0.167,0,"SMC_1","Efhd1"
"Eln",0,1.03504406998951,0.974,0.59,0,"SMC_1","Eln"
"Sgcd",0,1.03462867585579,0.735,0.235,0,"SMC_1","Sgcd"
"Lims2",0,1.01808987394602,0.804,0.22,0,"SMC_1","Lims2"
"Pdlim5",0,1.01367574091715,0.813,0.441,0,"SMC_1","Pdlim5"
"Zfhx3",0,1.01112542736996,0.905,0.573,0,"SMC_1","Zfhx3"
"Hspb2",0,1.01091916209563,0.651,0.112,0,"SMC_1","Hspb2"
"Pde4dip",0,1.00980996703548,0.726,0.276,0,"SMC_1","Pde4dip"
"Otud1",0,1.00821423784169,0.529,0.168,0,"SMC_1","Otud1"
"Cnn3",0,1.00675610594865,0.872,0.537,0,"SMC_1","Cnn3"
"Tgfb1i1",0,1.00619536173277,0.835,0.387,0,"SMC_1","Tgfb1i1"
"Sorl1",0,1.00177496719972,0.679,0.169,0,"SMC_1","Sorl1"
"Spint2",0,0.999163303638673,0.602,0.05,0,"SMC_1","Spint2"
"Tln1",0,0.994939888850723,0.929,0.672,0,"SMC_1","Tln1"
"Fam13c",0,0.992527950530915,0.646,0.153,0,"SMC_1","Fam13c"
"Ccdc107",0,0.991144574907237,0.74,0.265,0,"SMC_1","Ccdc107"
"Pde5a",0,0.987523717168732,0.732,0.247,0,"SMC_1","Pde5a"
"Des",0,0.985953105342358,0.208,0.026,0,"SMC_1","Des"
"Cavin1",0,0.98109103272829,0.964,0.707,0,"SMC_1","Cavin1"
"Nav2",0,0.977613440787735,0.665,0.156,0,"SMC_1","Nav2"
"Anln",0,0.96581100827127,0.555,0.036,0,"SMC_1","Anln"
"Pcp4l1",0,0.961133297217348,0.574,0.033,0,"SMC_1","Pcp4l1"
"Serpine1",0,0.960748117273357,0.488,0.167,0,"SMC_1","Serpine1"
"Rras",0,0.957027345863226,0.922,0.622,0,"SMC_1","Rras"
"Stbd1",0,0.95001169833949,0.613,0.156,0,"SMC_1","Stbd1"
"Atp2b4",0,0.94791760554308,0.79,0.352,0,"SMC_1","Atp2b4"
"Pkdcc",0,0.932840236290787,0.583,0.108,0,"SMC_1","Pkdcc"
"Hsph1",0,0.930510981214715,0.702,0.349,0,"SMC_1","Hsph1"
"Ttll7",0,0.93040445417073,0.589,0.084,0,"SMC_1","Ttll7"
"Utrn",0,0.92946137381,0.82,0.437,0,"SMC_1","Utrn"
"Fbxo30",0,0.92851397192667,0.623,0.208,0,"SMC_1","Fbxo30"
"Mark1",0,0.925449076682292,0.548,0.075,0,"SMC_1","Mark1"
"Mbnl1",0,0.925044863792975,0.979,0.855,0,"SMC_1","Mbnl1"
"Tnfrsf12a",0,0.922984817307653,0.637,0.252,0,"SMC_1","Tnfrsf12a"
"Tacc2",0,0.917902770046789,0.737,0.301,0,"SMC_1","Tacc2"
"Sod3",0,0.912776668609367,0.968,0.671,0,"SMC_1","Sod3"
"Sun2",0,0.911540897305756,0.711,0.246,0,"SMC_1","Sun2"
"Smarcd3",0,0.907320068564462,0.603,0.109,0,"SMC_1","Smarcd3"
"Endod1",0,0.904011661907751,0.69,0.251,0,"SMC_1","Endod1"
"Cdo1",0,0.903773715206276,0.569,0.107,0,"SMC_1","Cdo1"
"Sema5a",0,0.901272838660317,0.71,0.253,0,"SMC_1","Sema5a"
"Lypd8l",0,0.898513660826015,0.348,0.014,0,"SMC_1","Lypd8l"
"Rgs4",0,0.896478206169042,0.474,0.035,0,"SMC_1","Rgs4"
"Aopep",0,0.890197060060328,0.789,0.373,0,"SMC_1","Aopep"
"Marveld1",0,0.88866574431072,0.759,0.326,0,"SMC_1","Marveld1"
"mt-Nd3",0,0.888460359796926,0.995,0.954,0,"SMC_1","mt-Nd3"
"Cdkl5",0,0.887565398876473,0.545,0.106,0,"SMC_1","Cdkl5"
"Cdc42ep3",0,0.883947363152691,0.798,0.329,0,"SMC_1","Cdc42ep3"
"Fat1",0,0.878970950118728,0.778,0.363,0,"SMC_1","Fat1"
"Actb",0,0.874695633846256,1,0.995,0,"SMC_1","Actb"
"Rrad",0,0.874363106130396,0.493,0.086,0,"SMC_1","Rrad"
"Itga5",0,0.871076713495933,0.584,0.241,0,"SMC_1","Itga5"
"Ilk",0,0.870163235612593,0.877,0.567,0,"SMC_1","Ilk"
"Arhgef17",0,0.86942829989726,0.622,0.146,0,"SMC_1","Arhgef17"
"Adgrl2",0,0.866068485249177,0.669,0.197,0,"SMC_1","Adgrl2"
