"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Acta2",0,3.79060399133666,1,0.56,0,"SMC_1","Acta2"
"Tagln",0,3.72908566714372,0.999,0.381,0,"SMC_1","Tagln"
"Myh11",0,3.45007489399298,0.999,0.188,0,"SMC_1","Myh11"
"Tpm2",0,3.30189335275713,0.999,0.496,0,"SMC_1","Tpm2"
"Myl9",0,3.03900499069258,0.998,0.495,0,"SMC_1","Myl9"
"Cnn1",0,2.89251766962148,0.989,0.136,0,"SMC_1","Cnn1"
"Flna",0,2.67150455683527,0.997,0.734,0,"SMC_1","Flna"
"Mylk",0,2.66898791812225,0.991,0.231,0,"SMC_1","Mylk"
"Npnt",0,2.65045469069941,0.975,0.142,0,"SMC_1","Npnt"
"Itga8",0,2.64214012563859,0.993,0.243,0,"SMC_1","Itga8"
"Ppp1r14a",0,2.6060877934597,0.973,0.223,0,"SMC_1","Ppp1r14a"
"Dstn",0,2.58747244997363,1,0.918,0,"SMC_1","Dstn"
"Lmod1",0,2.57448874046008,0.99,0.312,0,"SMC_1","Lmod1"
"Tpm1",0,2.51420915291209,0.998,0.706,0,"SMC_1","Tpm1"
"Ccn3",0,2.41125659622017,0.956,0.188,0,"SMC_1","Ccn3"
"Cald1",0,2.31955777879329,0.998,0.828,0,"SMC_1","Cald1"
"Mustn1",0,2.27831924201546,0.972,0.212,0,"SMC_1","Mustn1"
"Csrp2",0,2.26259984827174,0.998,0.81,0,"SMC_1","Csrp2"
"Lpp",0,2.24431652619426,0.99,0.715,0,"SMC_1","Lpp"
"Myl6",0,2.210525811398,1,0.986,0,"SMC_1","Myl6"
"Synpo2",0,2.18553624461651,0.968,0.236,0,"SMC_1","Synpo2"
"Actn1",0,2.17337980691534,0.988,0.465,0,"SMC_1","Actn1"
"Myom1",0,2.16361118223461,0.956,0.097,0,"SMC_1","Myom1"
"Col18a1",0,2.13830846509875,0.96,0.233,0,"SMC_1","Col18a1"
"Pcdh7",0,2.1383046608865,0.986,0.394,0,"SMC_1","Pcdh7"
"Sost",0,2.09523133258287,0.918,0.128,0,"SMC_1","Sost"
"Ppp1r12a",0,2.09044579227761,0.99,0.621,0,"SMC_1","Ppp1r12a"
"Sh3bgr",0,2.08193608166826,0.96,0.141,0,"SMC_1","Sh3bgr"
"Csrp1",0,2.00625265124527,0.987,0.545,0,"SMC_1","Csrp1"
"Fblim1",0,1.9529479514552,0.984,0.496,0,"SMC_1","Fblim1"
"Filip1l",0,1.93693023710462,0.983,0.552,0,"SMC_1","Filip1l"
"Map1b",0,1.90357683720741,0.991,0.678,0,"SMC_1","Map1b"
"Tns1",0,1.89008013387728,0.99,0.731,0,"SMC_1","Tns1"
"Ramp1",0,1.88916445021787,0.948,0.152,0,"SMC_1","Ramp1"
"Mylk4",0,1.84770004675881,0.794,0.046,0,"SMC_1","Mylk4"
"Pbxip1",0,1.83182405142973,0.972,0.523,0,"SMC_1","Pbxip1"
"Nexn",0,1.82202191854959,0.964,0.335,0,"SMC_1","Nexn"
"Dmd",0,1.80790479613393,0.961,0.397,0,"SMC_1","Dmd"
"Actg2",0,1.80612548550413,0.64,0.057,0,"SMC_1","Actg2"
"Rock1",0,1.79844136148301,0.991,0.796,0,"SMC_1","Rock1"
"Rbpms",0,1.78644620282893,0.989,0.663,0,"SMC_1","Rbpms"
"Smtn",0,1.78013051189862,0.964,0.347,0,"SMC_1","Smtn"
"Cpe",0,1.77616969479029,0.994,0.695,0,"SMC_1","Cpe"
"Ncam1",0,1.77414263727122,0.967,0.248,0,"SMC_1","Ncam1"
"Sgcg",0,1.75855741811298,0.935,0.089,0,"SMC_1","Sgcg"
"Slmap",0,1.74585456639664,0.97,0.427,0,"SMC_1","Slmap"
"Fbxl22",0,1.74175270383993,0.834,0.08,0,"SMC_1","Fbxl22"
"Pls3",0,1.68091581720744,0.989,0.703,0,"SMC_1","Pls3"
"Gucy1a1",0,1.66730712418272,0.941,0.211,0,"SMC_1","Gucy1a1"
"Cbr2",0,1.6610965097297,0.899,0.081,0,"SMC_1","Cbr2"
"Rcan2",0,1.60911372402528,0.918,0.149,0,"SMC_1","Rcan2"
"Lrrfip1",0,1.60722255574648,0.966,0.445,0,"SMC_1","Lrrfip1"
"Enah",0,1.60609369061494,0.93,0.338,0,"SMC_1","Enah"
"Adcy5",0,1.60027873958748,0.926,0.186,0,"SMC_1","Adcy5"
"Npy1r",0,1.58267887596987,0.836,0.087,0,"SMC_1","Npy1r"
"Tcap",0,1.56682177831314,0.723,0.087,0,"SMC_1","Tcap"
"Susd5",0,1.50246181163606,0.861,0.072,0,"SMC_1","Susd5"
"Msrb1",0,1.48731277520266,0.925,0.415,0,"SMC_1","Msrb1"
"Bcam",0,1.48185373703946,0.912,0.175,0,"SMC_1","Bcam"
"Plcb4",0,1.46934913366637,0.951,0.504,0,"SMC_1","Plcb4"
"Hspb6",0,1.46321016364241,0.87,0.107,0,"SMC_1","Hspb6"
"Tmsb4x",0,1.45740012197837,1,0.994,0,"SMC_1","Tmsb4x"
"Cped1",0,1.43269505479605,0.989,0.77,0,"SMC_1","Cped1"
"Gucy1b1",0,1.41721945263608,0.913,0.187,0,"SMC_1","Gucy1b1"
"Serpine2",0,1.41277535456903,0.967,0.387,0,"SMC_1","Serpine2"
"Limch1",0,1.37487748537395,0.916,0.269,0,"SMC_1","Limch1"
"Dmpk",0,1.36814259019585,0.903,0.254,0,"SMC_1","Dmpk"
"Kcnmb1",0,1.36486736798325,0.854,0.052,0,"SMC_1","Kcnmb1"
"1190005I06Rik",0,1.36066216947062,0.841,0.065,0,"SMC_1","1190005I06Rik"
"Mtus2",0,1.3458666923402,0.813,0.111,0,"SMC_1","Mtus2"
"Hspb1",0,1.34460867090982,0.986,0.723,0,"SMC_1","Hspb1"
"Cspg4",0,1.3312491103501,0.878,0.152,0,"SMC_1","Cspg4"
"Postn",0,1.32905743065793,0.949,0.269,0,"SMC_1","Postn"
"Pkp4",0,1.32308777651074,0.893,0.263,0,"SMC_1","Pkp4"
"Kcnab1",0,1.32131927056824,0.84,0.074,0,"SMC_1","Kcnab1"
"Itga9",0,1.31915893661146,0.921,0.379,0,"SMC_1","Itga9"
"Thsd4",0,1.31282316485436,0.837,0.074,0,"SMC_1","Thsd4"
"Mcam",0,1.29939663310246,0.816,0.089,0,"SMC_1","Mcam"
"Hspb7",0,1.29733612982801,0.879,0.186,0,"SMC_1","Hspb7"
"Pde3a",0,1.29364135882411,0.926,0.405,0,"SMC_1","Pde3a"
"Sh3bgrl",0,1.28695814782146,0.983,0.815,0,"SMC_1","Sh3bgrl"
"Vcl",0,1.28168164653908,0.947,0.479,0,"SMC_1","Vcl"
"Sorl1",0,1.24947861508213,0.862,0.176,0,"SMC_1","Sorl1"
"Itih4",0,1.24619868002602,0.574,0.047,0,"SMC_1","Itih4"
"Map3k20",0,1.24325665182451,0.918,0.4,0,"SMC_1","Map3k20"
"Ppp1r12b",0,1.24302993255961,0.924,0.43,0,"SMC_1","Ppp1r12b"
"Lmcd1",0,1.23584634644652,0.838,0.233,0,"SMC_1","Lmcd1"
"E030013I19Rik",0,1.23005166244107,0.744,0.057,0,"SMC_1","E030013I19Rik"
"Irag1",0,1.21379083149448,0.857,0.116,0,"SMC_1","Irag1"
"Myocd",0,1.21365783486021,0.78,0.057,0,"SMC_1","Myocd"
"Itgb1",0,1.2032120057613,0.994,0.914,0,"SMC_1","Itgb1"
"Samd4",0,1.1973126579167,0.903,0.345,0,"SMC_1","Samd4"
"Denn2b",0,1.19306052153968,0.877,0.269,0,"SMC_1","Denn2b"
"Oxct1",0,1.18983616466474,0.974,0.678,0,"SMC_1","Oxct1"
